,Glucose concentration,Pyruvate concentration,Acetald concentration,Acetate concentration,Ethanol concentration,Active cell material,Acetaldehyde dehydrogenase,Specific oxygen uptake rate,Specific carbon dioxide evolution rate,Biomass concentration (dry weight),Time of processing,BatchID,Data set,Type
3#59,0.08129437,0.02852483,1.69857,0.1082961,10.34258,0.5457596,0.005278986,9.225121,31.64474,4.797278,19.32829,3,Calibration,NOC
3#60,-0.3767535,0.02777738,1.716789,0.1102824,10.49219,0.5410036,0.004949093,8.957097,31.11016,4.735009,19.33397,3,Calibration,NOC
3#61,-0.04560453,0.02705144,1.653045,0.1081039,10.48852,0.5444111,0.00383052,7.999347,29.84065,4.77248,19.33863,3,Calibration,NOC
3#62,0.3348511,0.02593214,1.732713,0.1113324,10.64472,0.545321,0.005268322,7.980926,29.75523,4.604339,19.34003,3,Calibration,NOC
3#63,0.1074792,0.02481343,1.723068,0.1108297,10.5922,0.5460793,0.00444275,7.180182,28.603,4.793234,19.34142,3,Calibration,NOC
3#64,-0.4031341,0.02440261,1.698178,0.1108963,10.72334,0.5464134,0.004906114,5.548172,26.46683,4.79319,19.34282,3,Calibration,NOC
3#65,-0.1648562,0.02342084,1.701045,0.1103683,10.72695,0.5464858,0.004250361,4.941768,26.22481,4.809643,19.34324,3,Calibration,NOC
3#66,0.314567,0.02260132,1.71304,0.1099683,10.54368,0.5471908,0.005340773,4.478302,25.8315,4.778026,19.34366,3,Calibration,NOC
3#67,0.2138598,0.02117526,1.696838,0.1080873,10.64626,0.5433967,0.004553718,4.195298,23.85763,4.7568,19.34408,3,Calibration,NOC
3#68,-0.2447647,0.01937366,1.690658,0.1085018,10.43855,0.545112,0.004808474,4.296719,23.12116,4.859753,19.3445,3,Calibration,NOC
3#69,0.1395684,0.0180977,1.637954,0.1092514,10.77988,0.5450455,0.004684274,4.249348,23.49526,4.888396,19.34492,3,Calibration,NOC
3#70,-0.1963381,0.0158471,1.697265,0.1097497,10.55895,0.5454301,0.004572765,4.70792,22.49247,4.912232,19.34534,3,Calibration,NOC
3#71,0.4554331,0.01508788,1.674861,0.1066607,10.41662,0.541443,0.00583835,4.672879,20.8277,4.739614,19.34591,3,Calibration,NOC
3#72,-0.6253573,0.01417787,1.689474,0.1056604,10.54457,0.5463051,0.004877852,4.753242,20.00119,4.865638,19.34649,3,Calibration,NOC
3#73,-0.1333048,0.01233155,1.680747,0.105782,10.84116,0.5480022,0.004722711,4.702745,19.4698,4.877606,19.34706,3,Calibration,NOC
3#74,0.3493279,0.01100749,1.674733,0.1064299,10.79549,0.5455526,0.005106247,4.66681,19.08815,4.823701,19.34763,3,Calibration,NOC
3#75,-0.1305114,0.01019623,1.674569,0.1053858,10.58427,0.5479366,0.004759632,4.648041,18.61208,4.793452,19.3482,3,Calibration,NOC
3#76,0.08173198,0.008416506,1.655433,0.09874269,10.71277,0.5460495,0.004232054,4.514636,18.08838,4.829584,19.34934,3,Calibration,NOC
3#77,0.6307445,0.005898973,1.679815,0.09805221,10.72748,0.5449176,0.004113997,4.597359,17.65187,4.77108,19.35047,3,Calibration,NOC
3#78,-0.4511993,0.005594205,1.628143,0.09481981,10.51515,0.5417076,0.004178923,4.297061,17.14697,4.854744,19.3516,3,Calibration,NOC
3#79,-0.3052422,0.003727446,1.646103,0.09534708,10.42618,0.5420769,0.004526098,4.339404,17.57392,4.916656,19.35274,3,Calibration,NOC
3#80,-0.2793382,0.002133884,1.653366,0.09136955,10.66863,0.5455806,0.005739497,4.313295,17.01093,4.744195,19.35387,3,Calibration,NOC
3#81,-0.60913,0.001255052,1.657165,0.08807444,10.55833,0.5440171,0.005030543,4.273015,17.46807,4.771343,19.35452,3,Calibration,NOC
3#82,-0.3676811,0.001365309,1.649872,0.09142127,10.58034,0.5457793,0.004741252,4.079907,17.46363,4.734475,19.35518,3,Calibration,NOC
3#83,-4.37E-02,0.000792956,1.624865,0.08973105,10.91728,0.5464531,0.004348059,3.839923,17.39938,4.856106,19.35534,3,Calibration,NOC
3#84,-0.01920758,-4.23E-05,1.606424,0.09073648,10.6519,0.5477502,0.004842332,3.461142,16.52299,4.869392,19.3555,3,Calibration,NOC
3#85,-0.01104595,0.000319989,1.626011,0.09137081,10.54549,0.5448897,0.005744752,2.253897,15.22391,4.871032,19.35566,3,Calibration,NOC
3#86,0.2028721,0.000839381,1.58862,0.08917313,10.69013,0.5429667,0.0045175,-3.758435,7.974787,4.817528,19.35582,3,Calibration,NOC
3#87,0.3386815,-0.00031544,1.652022,0.08797779,10.594,0.5456102,0.00534361,-3.4469,8.123203,4.858845,19.35598,3,Calibration,NOC
3#88,0.3584233,-0.000170916,1.676345,0.09090362,10.83215,0.5498583,0.004588613,-3.330875,8.444036,4.976202,19.35614,3,Calibration,NOC
3#89,-0.4253967,-0.000289611,1.639666,0.08951673,10.37473,0.5436678,0.005422376,-3.51988,8.21739,4.746462,19.35631,3,Calibration,NOC
3#90,0.6158874,0.000430793,1.677086,0.08856048,10.80807,0.5446923,0.005391507,-3.338398,7.884851,4.827203,19.35647,3,Calibration,NOC
3#91,0.2144659,0.00014279,1.63484,0.08885872,10.83455,0.5414634,0.005099039,-3.555265,8.306379,4.828004,19.35664,3,Calibration,NOC
3#92,-0.2391343,-0.000422294,1.630244,0.09093334,10.88856,0.5446301,0.005581367,-3.583892,7.391308,4.803287,19.3568,3,Calibration,NOC
3#93,0.1963663,0.000457057,1.603063,0.08773476,10.72311,0.5420161,0.005165531,-3.735505,7.974788,4.849472,19.35725,3,Calibration,NOC
3#94,0.1067244,-0.000285303,1.630878,0.08582677,10.80063,0.5462119,0.005756536,-3.612241,8.031987,4.803129,19.35771,3,Calibration,NOC
3#95,0.06326541,0.000946523,1.626957,0.08587143,10.5987,0.5447829,0.005338081,-3.647757,7.646708,4.845807,19.35816,3,Calibration,NOC
3#96,0.1494443,0.00026021,1.655008,0.08344591,10.74108,0.5442321,0.004987794,-3.523514,8.06133,4.914689,19.35861,3,Calibration,NOC
3#97,-1.40E-01,-0.000189098,1.586136,0.07997391,10.84958,0.5446448,0.006323453,-3.9926,7.56649,4.874436,19.36215,3,Calibration,NOC
3#98,0.2647947,4.99E-05,1.630906,0.07444776,10.90083,0.5445331,0.005126564,-3.898657,7.370611,4.801603,19.36568,3,Calibration,NOC
3#99,-0.02306546,0.000227314,1.607456,0.06912238,10.84504,0.5460846,0.005424887,-4.15015,7.2114,4.847495,19.36921,3,Calibration,NOC
3#100,0.6526985,0.000566676,1.483375,0.0549973,10.77588,0.5445797,0.005929807,-5.257938,6.309171,4.932681,19.38129,3,Calibration,NOC
3#101,0.2517534,-0.000452032,1.503208,0.04174838,10.78417,0.5494329,0.005384618,-5.649629,5.215383,4.861901,19.39336,3,Calibration,NOC
3#102,0.01913498,0.000383187,1.381873,0.03065756,10.99025,0.5432021,0.006148939,-6.6967,3.501786,4.905453,19.40544,3,Calibration,NOC
3#103,-0.02905309,0.000730887,1.361176,0.02338698,10.99637,0.5448481,0.006020352,-7.138017,3.933322,4.784715,19.41752,3,Calibration,NOC
3#104,0.6149245,0.000876728,1.225299,0.01273133,11.20944,0.5451043,0.006442397,-8.053865,2.781749,4.8056,19.43344,3,Calibration,NOC
3#105,0.03550842,0.000116161,1.245203,0.01103307,11.28675,0.5433771,0.006087121,-7.951874,2.323969,4.909519,19.44591,3,Calibration,NOC
3#106,0.2771431,0.000121011,1.19121,0.008424742,11.17987,0.542026,0.006741337,-8.074405,1.184392,4.9365,19.45838,3,Calibration,NOC
3#107,-0.9764955,0.000179436,1.096039,0.006824594,11.19929,0.5408562,0.006639102,-8.285415,1.18423,4.771234,19.47085,3,Calibration,NOC
3#108,-0.207869,0.000310058,1.040742,0.00559055,11.24974,0.5454264,0.006874545,-8.208865,1.205919,4.787385,19.48331,3,Calibration,NOC
3#109,-0.3573896,-0.000440843,0.9783303,0.003566818,11.32331,0.5431393,0.007142289,-7.931027,1.677868,4.842492,19.50059,3,Calibration,NOC
3#110,-0.3666297,-0.000469219,0.888251,0.005327343,11.38903,0.5459993,0.007766681,-7.723468,1.029705,4.926125,19.51787,3,Calibration,NOC
3#111,-5.98E-01,0.000409166,0.8636519,0.001988639,11.61463,0.545314,0.00820822,-7.152782,0.5574815,4.938646,19.53515,3,Calibration,NOC
3#112,0.1390182,-7.43E-05,0.7966712,0.004373581,11.37359,0.5452456,0.009541872,-6.775581,0.8186896,4.833017,19.55242,3,Calibration,NOC
3#113,-2.07E-02,-0.000558219,0.7458066,0.001632993,11.7207,0.5462806,0.009360044,-6.310147,0.9788628,4.874256,19.5697,3,Calibration,NOC
3#114,-0.1822354,-2.18E-05,0.646246,0.00418894,11.57175,0.5398782,0.01005509,-5.475213,1.308021,4.807303,19.60184,3,Calibration,NOC
3#115,0.3196969,-0.000395918,0.5277793,0.004471174,11.82535,0.5419003,0.0099706,-4.774138,1.099355,4.845077,19.63397,3,Calibration,NOC
3#116,-0.612482,0.000642499,0.4389456,0.007424079,12.02825,0.5415341,0.01091354,-3.985117,0.7796207,4.759569,19.66611,3,Calibration,NOC
3#117,-0.1285926,0.000655842,0.4029565,0.00377915,11.912,0.5385764,0.01111041,-3.007243,1.093713,4.972847,19.69824,3,Calibration,NOC
3#118,0.01921182,-0.000442141,0.3894702,0.006066606,12.1275,0.5383693,0.0120609,-2.009094,0.3703392,4.887118,19.73038,3,Calibration,NOC
3#119,-0.4733663,0.000138847,0.2783073,0.004702319,12.07994,0.5377327,0.01388419,-0.6235439,1.55076,4.880545,19.80016,3,Calibration,NOC
3#120,0.228437,0.000711243,0.1924084,0.006646592,12.19128,0.5407079,0.01475289,0.3585952,1.010885,4.808779,19.86993,3,Calibration,NOC
3#121,0.1922011,0.000409659,0.1820338,0.009417417,12.05235,0.5391273,0.01569452,1.262549,1.436243,4.79997,19.93971,3,Calibration,NOC
3#122,0.008623099,-0.000601385,0.1259341,0.007710243,12.06555,0.5340035,0.01712365,1.626571,1.688892,4.875091,20.00949,3,Calibration,NOC
3#123,0.8185242,0.000439252,0.1367523,0.008113336,12.12822,0.5362007,0.01878941,2.132592,1.778103,4.885215,20.07927,3,Calibration,NOC
3#124,-0.1164353,0.000664524,0.1004296,0.007259149,12.3506,0.5361458,0.01988178,2.36662,1.463678,4.807273,20.17227,3,Calibration,NOC
3#125,-0.5577059,0.00037903,0.1640559,0.00851651,12.02678,0.5288349,0.02184166,3.005915,1.807164,4.888318,20.26527,3,Calibration,NOC
3#126,0.5771276,0.000308892,0.1163432,0.01089665,12.17411,0.5335467,0.02376921,3.05021,1.973498,4.983968,20.35827,3,Calibration,NOC
3#127,-0.1532603,0.00015043,0.1551,0.01411492,12.07339,0.5326358,0.02603749,3.499461,2.065641,4.849875,20.45128,3,Calibration,NOC
3#128,5.09E-01,-0.000382511,0.1114926,0.01319403,12.10349,0.5330254,0.02616685,3.520493,2.396932,4.99437,20.54428,3,Calibration,NOC
3#129,-8.34E-01,5.54E-05,0.08838702,0.01531955,12.01869,0.5280038,0.03111788,3.939171,2.133759,5.059407,20.75903,3,Calibration,NOC
3#130,-0.5713137,-4.55E-05,0.115742,0.01996115,11.84614,0.5287161,0.03470159,4.588601,2.964041,5.046506,20.97377,3,Calibration,NOC
3#131,0.1786306,-0.000109003,0.1041872,0.02061171,11.85883,0.5214123,0.03821909,5.029495,3.118805,4.956708,21.18852,3,Calibration,NOC
3#132,-6.41E-01,0.000173704,0.1098369,0.02421419,11.59525,0.5254135,0.04185863,5.544874,3.284838,5.008358,21.40327,3,Calibration,NOC
3#133,0.6065561,8.23E-05,0.07545208,0.03412874,11.21974,0.5258372,0.05291235,6.886324,4.131968,5.178763,22.10327,3,Calibration,NOC
3#134,-0.4863401,0.000508667,0.04005098,0.03581893,11.08122,0.5251839,0.05609839,7.143567,4.582379,5.267908,22.31327,3,Calibration,NOC
3#135,9.44E-02,-0.00017032,0.06143585,0.03612808,10.91471,0.5247716,0.05707726,7.378849,4.544508,5.120995,22.37627,3,Calibration,NOC
3#136,6.16E-01,-7.23E-05,0.0732782,0.03574751,10.88667,0.5197378,0.05704406,7.476396,3.989288,5.391111,22.39517,3,Calibration,NOC
3#137,-0.2989683,4.29E-05,0.07433495,0.03570516,10.95856,0.5251404,0.05734341,7.493167,4.198762,5.274347,22.40084,3,Calibration,NOC
3#138,-0.001274787,-0.000293509,0.05124205,0.03600411,10.95151,0.5212707,0.05803983,7.389184,3.866759,5.236306,22.40651,3,Calibration,NOC
3#139,0.2950343,0.000793548,0.06337284,0.03702832,11.29023,0.5265152,0.05671538,7.461315,4.531121,5.317695,22.41218,3,Calibration,NOC
3#140,0.1166341,0.000359963,0.05712697,0.03553134,11.0867,0.5266274,0.05676198,7.441557,3.999599,5.386874,22.41785,3,Calibration,NOC
3#141,4.96E-02,-0.000213505,0.08402177,0.03716185,10.96344,0.5289611,0.05814795,7.690426,4.653764,5.344883,22.47455,3,Calibration,NOC
3#142,-0.2813703,-7.94E-05,0.116506,0.03657362,11.17544,0.529305,0.05851105,7.96665,4.453068,5.215118,22.53125,3,Calibration,NOC
3#143,0.2541483,0.000313302,0.04545431,0.04057026,10.88456,0.522922,0.05932395,7.724579,4.326738,5.328611,22.58795,3,Calibration,NOC
3#144,-0.3716442,0.000208014,0.03683537,0.03948073,10.84479,0.5253564,0.06056093,7.794045,4.560637,5.284847,22.64465,3,Calibration,NOC
3#145,-0.6347137,0.00063068,0.04151959,0.04424864,10.26184,0.5313703,0.06766472,8.907497,4.901573,5.522339,23.21165,3,Calibration,NOC
3#146,0.03869819,0.000999091,0.04851303,0.05152947,9.691229,0.5371337,0.07453927,9.968996,6.279727,5.74932,23.77865,3,Calibration,NOC
3#147,0.5031638,-0.000520298,0.04391238,0.05568492,9.132474,0.5417718,0.07920104,10.90452,5.805713,5.883109,24.34565,3,Calibration,NOC
3#148,0.4231707,-0.000162676,0.04774843,0.0587379,8.881353,0.5531511,0.08161402,11.19751,6.553633,6.058542,24.51575,3,Calibration,NOC
3#149,-0.3075125,0.000508171,0.01796876,0.05991478,8.755447,0.543554,0.08132432,11.12928,6.324219,6.172396,24.56678,3,Calibration,NOC
3#150,-0.1009521,0.000414613,-0.01409013,0.06268509,8.491924,0.5491764,0.08239841,11.04889,6.888667,6.054874,24.61781,3,Calibration,NOC
3#151,-0.2430372,-0.000225705,0.03006807,0.06270806,8.908299,0.5472625,0.08270064,11.29348,6.812719,6.177465,24.63312,3,Calibration,NOC
3#152,0.2216886,-0.000307511,0.02547109,0.06159998,8.73943,0.5457126,0.08317987,11.29415,6.477855,6.117328,24.64842,3,Calibration,NOC
3#153,0.216647,0.000643401,0.02325035,0.06133998,8.748051,0.5473169,0.08255133,11.30658,6.92814,6.055447,24.66373,3,Calibration,NOC
3#154,-0.104129,-0.000324495,0.02997051,0.06406391,8.66572,0.5486488,0.08366866,11.36359,6.141053,6.11559,24.67904,3,Calibration,NOC
3#155,0.7358209,0.00035245,0.06037145,0.06797398,8.377964,0.5457717,0.08384141,11.74556,6.738261,6.090581,24.83213,3,Calibration,NOC
3#156,-0.09739741,-0.000362595,-0.03899325,0.06548727,8.209662,0.5519633,0.08515603,11.47169,6.641482,6.314652,24.98522,3,Calibration,NOC
3#157,0.1712617,0.000834635,0.01231536,0.06817891,8.222354,0.5552499,0.08611585,11.79434,6.665754,6.411515,25.03115,3,Calibration,NOC
3#158,0.4611867,0.000358373,0.06622231,0.06626956,8.060427,0.5546132,0.08482482,12.12966,6.923997,6.371665,25.07708,3,Calibration,NOC
3#159,-0.2395252,0.00022998,0.03128513,0.06498059,8.277453,0.5586713,0.08637402,11.97465,7.174958,6.283206,25.09085,3,Calibration,NOC
3#160,-0.08762042,0.000442363,0.02417453,0.06672827,8.202178,0.5568125,0.08694367,11.959,7.200665,6.326485,25.10463,3,Calibration,NOC
3#161,0.1336183,0.000589562,0.03279927,0.06634868,7.999464,0.5568353,0.08740696,12.02227,7.079979,6.376146,25.11841,3,Calibration,NOC
3#162,-0.1358577,0.000604652,0.02231178,0.06868396,7.955576,0.5599504,0.08689456,11.99015,6.90336,6.328547,25.13219,3,Calibration,NOC
3#163,-0.0764481,-0.000195094,0.08377107,0.06751607,7.66962,0.5585222,0.08792144,12.4274,6.979732,6.43891,25.21971,3,Calibration,NOC
3#164,0.7062754,-0.000276592,0.03013171,0.06851973,7.891038,0.5573134,0.08712529,12.19782,6.595135,6.473593,25.24596,3,Calibration,NOC
3#165,-3.95E-02,0.000484483,0.002298028,0.06870981,7.703389,0.5601299,0.08734248,12.09571,7.114541,6.278272,25.27222,3,Calibration,NOC
3#166,-0.003750477,1.45E-05,0.02910104,0.06733622,7.566272,0.5569568,0.08730811,12.2653,7.094769,6.365097,25.29848,3,Calibration,NOC
3#167,-0.1951905,0.000164752,0.03267932,0.07026943,7.819644,0.5628324,0.08780197,12.31756,6.792261,6.400388,25.32473,3,Calibration,NOC
3#168,-0.4424289,0.000185533,0.04022257,0.06942745,7.4364,0.5608072,0.08943667,12.49916,6.370196,6.477318,25.43918,3,Calibration,NOC
3#169,-2.11E-01,-0.000256811,-0.001648388,0.06970144,7.326755,0.5685823,0.0878626,12.33183,7.894292,6.496659,25.47352,3,Calibration,NOC
3#170,0.5016548,8.06E-05,0.03333452,0.07006039,7.424359,0.5678666,0.08915915,12.54917,7.311392,6.463161,25.50785,3,Calibration,NOC
3#171,-0.6410228,-0.000770972,0.02566949,0.07118397,7.367937,0.5620053,0.08850986,12.55353,6.690228,6.586879,25.54219,3,Calibration,NOC
3#172,-0.6245681,0.000232579,0.06702533,0.07206997,7.225116,0.5649304,0.08915532,12.77352,6.300408,6.538327,25.55249,3,Calibration,NOC
3#173,-0.6121833,-0.000165071,0.06967113,0.07111445,7.331779,0.5664237,0.08889158,12.80036,6.92595,6.531021,25.56279,3,Calibration,NOC
3#174,0.2532518,0.000338359,0.02056167,0.07211363,7.019644,0.5666238,0.08894034,12.56874,7.001139,6.611662,25.57309,3,Calibration,NOC
3#175,-0.01557937,0.000466934,0.011767,0.07027689,7.335218,0.5659383,0.0890066,12.53883,6.899162,6.570111,25.58339,3,Calibration,NOC
3#176,-0.5211113,-0.000112192,0.003579419,0.07204609,7.204919,0.570016,0.08947203,12.57539,8.004491,6.70217,25.64345,3,Calibration,NOC
3#177,-0.09328122,0.000551293,0.03001508,0.0715628,7.25774,0.5655773,0.08905533,12.78201,6.905989,6.801102,25.70351,3,Calibration,NOC
3#178,-0.3740744,0.00030585,0.00752099,0.07271781,7.042483,0.5704831,0.09099628,12.74185,7.145477,6.676734,25.76357,3,Calibration,NOC
3#179,-0.5939181,0.0008967,-0.007564019,0.07347406,6.650237,0.5717986,0.09166002,12.86457,7.178859,6.729079,25.938,3,Calibration,NOC
3#180,-0.1806225,-0.000117306,0.02770913,0.07374173,6.555829,0.5760789,0.09132649,13.22506,6.93402,7.101257,26.11244,3,Calibration,NOC
3#181,9.67E-02,-0.000287515,0.006005594,0.07482464,5.934912,0.5800195,0.09222464,13.28817,7.549328,7.045028,26.28687,3,Calibration,NOC
3#182,-1.18482,1.74E-05,-0.01445588,0.07691164,4.670925,0.5968648,0.0942113,13.62724,8.265002,7.400133,26.83099,3,Calibration,NOC
3#183,3.27E-01,0.000188859,0.02239581,0.07352761,3.851356,0.6096584,0.0946638,14.05347,7.910809,7.757417,27.37511,3,Calibration,NOC
3#184,0.01705308,-8.12E-05,0.02184881,0.07536083,3.568025,0.6140084,0.09477662,14.06752,7.990075,7.869128,27.53834,3,Calibration,NOC
3#185,-5.17E-01,-0.000352607,-0.0120384,0.07452746,3.255415,0.6174868,0.09369256,13.88505,7.869298,7.938029,27.70158,3,Calibration,NOC
3#186,-0.4398396,-1.36E-05,-0.005989887,0.0743083,2.773882,0.6143526,0.0930989,13.90221,9.093299,7.937636,27.75055,3,Calibration,NOC
3#187,3.43E-01,-0.000127108,-0.001281659,0.07551759,2.929849,0.6200527,0.0936668,13.90905,7.964221,7.999247,27.79952,3,Calibration,NOC
3#188,0.4719128,-7.79E-05,-0.002057843,0.07113969,2.73889,0.6235045,0.09409869,13.88404,7.347548,8.143888,27.84849,3,Calibration,NOC
3#189,0.2932483,-0.000275929,-0.003141228,0.0695888,2.719903,0.6237546,0.09276862,13.85268,8.259968,8.040673,27.89746,3,Calibration,NOC
3#190,-0.2507188,-0.000670711,0.01363683,0.06833197,2.312948,0.626676,0.09229793,13.64975,7.834078,8.442465,28.18418,3,Calibration,NOC
3#191,4.10E-02,0.000400674,0.01951328,0.0674158,1.792432,0.6293318,0.09183019,13.52871,7.098238,8.46938,28.2702,3,Calibration,NOC
3#192,0.5663596,7.78E-05,-0.01268304,0.06507184,1.557163,0.6306568,0.09124708,13.17126,7.974562,8.430338,28.35622,3,Calibration,NOC
3#193,0.09096382,0.000295178,0.01234953,0.05828426,1.410588,0.6341752,0.0905252,13.03981,8.141443,8.60963,28.44224,3,Calibration,NOC
3#194,-0.3635321,-0.000441592,-0.001104941,0.06019098,1.239682,0.6333418,0.09050381,12.63391,7.11717,8.72186,28.52825,3,Calibration,NOC
3#195,-1.64E-01,-0.000544959,0.02369068,0.05910629,1.253319,0.6371738,0.09047276,12.58159,7.157641,8.677047,28.56523,3,Calibration,NOC
3#196,0.09392546,-2.88E-05,-0.02154758,0.05800932,0.992664,0.6375929,0.09082996,12.15724,7.625351,8.751353,28.60221,3,Calibration,NOC
3#197,0.1811098,-0.000154186,-0.006470174,0.05352262,1.218691,0.6377859,0.09065366,12.01021,6.867435,8.836787,28.63918,3,Calibration,NOC
3#198,0.6556656,0.00029746,0.00672982,0.05198974,1.028692,0.6421351,0.09038351,11.82676,7.609734,8.857344,28.67616,3,Calibration,NOC
3#199,0.5490517,0.000386974,0.028549,0.05155486,0.8393903,0.6428983,0.08941314,11.65619,6.541188,8.7742,28.71314,3,Calibration,NOC
3#200,0.179481,0.000523555,0.007598026,0.04797097,1.045281,0.6400865,0.08963881,11.22128,7.124466,8.828224,28.75215,3,Calibration,NOC
3#201,-0.6031818,0.000495583,0.03854218,0.04625377,0.6182652,0.6407387,0.08895177,11.00718,5.616951,8.792859,28.79115,3,Calibration,NOC
3#202,0.06211815,0.000225848,0.0257854,0.04445494,0.5537032,0.6415578,0.08911778,10.53345,5.832147,8.93566,28.83016,3,Calibration,NOC
3#203,0.06527214,0.000763395,-0.02209391,0.0407225,0.8355514,0.6453742,0.08910631,9.841442,5.664283,8.941442,28.86917,3,Calibration,NOC
3#204,9.04E-02,0.000438191,-0.04056503,0.03264759,0.6503686,0.6522098,0.08846194,7.975458,4.280071,8.977725,28.9982,3,Calibration,NOC
3#205,0.610284,-3.58E-05,0.03335333,0.02913909,0.5732082,0.6498541,0.08809288,7.716268,4.384205,9.007011,29.03691,3,Calibration,NOC
3#206,8.08E-01,-0.000295563,-0.03363612,0.02730011,0.1820136,0.64938,0.08768948,6.754375,4.027832,9.006429,29.07562,3,Calibration,NOC
3#207,0.1295148,9.02E-05,-0.001678827,0.02185985,0.2721822,0.647001,0.08730622,6.243578,3.981628,8.884441,29.11433,3,Calibration,NOC
3#208,0.4298149,0.000379187,0.03399247,0.0195175,0.1229815,0.6497082,0.0876975,5.784118,3.034973,8.988622,29.15303,3,Calibration,NOC
3#209,0.2259703,-0.001154865,0.02840121,0.01237081,-0.07566028,0.6474551,0.08734138,4.081959,2.538852,9.032835,29.25641,3,Calibration,NOC
3#210,-1.90E-01,-0.000152766,-0.003279181,0.008693051,-0.03889634,0.6464102,0.08675145,2.491735,1.516635,8.999084,29.35979,3,Calibration,NOC
3#211,-0.153571,3.65E-05,0.02018411,0.004253807,0.10649,0.6544194,0.08660307,2.257744,1.435969,9.143715,29.3908,3,Calibration,NOC
3#212,-0.4575651,0.000381737,0.0234206,0.005600855,-0.187605,0.6522048,0.08563846,1.968852,0.9318063,9.129776,29.42182,3,Calibration,NOC
3#213,-0.03925876,-0.001229882,-0.03279591,0.004248586,-0.03258491,0.6503596,0.0864454,1.417252,1.306865,9.066668,29.45283,3,Calibration,NOC
3#214,-0.05277006,-0.000265592,0.02212905,0.005685347,-0.01262306,0.6521493,0.08722471,1.459262,0.6606055,9.032417,29.48384,3,Calibration,NOC
3#215,0.5287937,-0.000293628,-0.008435143,0.000946052,-0.1683126,0.6515434,0.08727486,0.7117153,0.2682531,9.090467,29.58543,3,Calibration,NOC
3#216,-0.2561224,0.00050589,-0.007442797,0.002329235,0.02937327,0.652547,0.08602014,0.3653786,-0.3361898,9.121744,29.68702,3,Calibration,NOC
3#217,0.1967834,0.000368114,4.06E-02,0.000190082,-0.1761179,0.649817,0.08482455,0.4139507,-0.196444,9.265466,29.7886,3,Calibration,NOC
3#218,0.07735747,0.000573108,-0.01480777,-6.67E-06,0.02364697,0.6484795,0.08503518,0.03373516,0.09127311,9.053334,29.89019,3,Calibration,NOC
3#219,-0.1135577,0.001399255,0.02811414,0.000366877,-0.07165019,0.6500316,0.08542746,0.1885578,-0.4007218,9.15802,30.03141,3,Calibration,NOC
3#220,3.55E-02,0.000850347,-0.03655075,-0.001141492,-0.02204663,0.6463961,0.08542393,-0.1613647,-0.6701803,9.147057,30.17263,3,Calibration,NOC
3#221,-0.09385546,-4.01E-05,-0.03401507,-0.001184457,-0.09628481,0.6486759,0.08498131,-0.1617063,0.0487197,9.129849,30.31386,3,Calibration,NOC
3#222,0.283112,0.000255829,0.01449742,-0.000809749,0.0121252,0.6509222,0.08532965,0.07506579,0.3072263,9.134618,30.45508,3,Calibration,NOC
3#223,0.2018216,-0.000347682,-0.02644779,-0.000524955,-0.1760169,0.648219,0.08467125,-0.1319846,-0.4924988,9.078691,30.5963,3,Calibration,NOC
3#224,0.1464139,0.000921312,0.02768421,0.00096644,-0.007474393,0.648618,0.08455519,0.1384521,-0.6221343,9.140342,30.75793,3,Calibration,NOC
3#225,-0.1447984,0.00019192,-0.01501199,-0.000401641,-0.2466458,0.6504062,0.08428065,-0.07505994,0.07523236,9.12107,30.91956,3,Calibration,NOC
3#226,1.70E-01,-0.000149997,0.0262108,0.000144721,0.04495894,0.6536022,0.08341599,0.1310571,-0.01992229,9.105256,31.08119,3,Calibration,NOC
3#227,-0.2638412,5.57E-05,-0.004717426,0.000362101,-0.2020769,0.6474328,0.08351082,-0.02358192,0.2054648,9.041345,31.24282,3,Calibration,NOC
3#228,0.2022377,-0.000602873,0.01336154,-0.00041715,-0.1278356,0.6505126,0.08333013,0.066811,0.06326195,9.084489,31.45282,3,Calibration,NOC
3#229,0.2578297,-0.000166349,-1.83E-02,0.000318484,0.04364536,0.6519864,0.08198129,-0.09151461,0.5552183,9.199332,31.66282,3,Calibration,NOC
3#230,0.3760401,-0.000185885,-0.03219352,3.38E-05,-0.08293774,0.6522228,0.08296286,-0.1609676,-0.3219929,9.164129,31.87282,3,Calibration,NOC
3#231,0.5372816,-0.000792663,-0.02607677,0.000849972,0.07320099,0.6469737,0.08206224,-0.1303838,0.1710157,9.05854,31.89172,3,Calibration,NOC
3#232,0.3178433,-0.000799427,0.001843295,0.000629315,-0.03132043,0.6492583,0.08199663,0.009216473,0.4950645,9.057423,31.91062,3,Calibration,NOC
3#233,-0.113142,0.000468473,-0.007416698,0.000149194,0.03684223,0.647032,0.08134238,-0.03708349,-0.2136344,9.121859,31.92952,3,Calibration,NOC
3#234,-0.8759326,0.000447167,0.04049208,0.001157726,-0.1840747,0.6507611,0.08294143,0.2024604,-0.5608238,9.207386,31.94842,3,Calibration,NOC
3#235,0.03890487,-0.000467722,0.02440497,-0.000605601,0.02046615,0.64869,0.08197379,0.1220249,-0.02001295,9.104381,32.13742,3,Calibration,NOC
3#236,0.005971985,0.000890019,-0.04606422,0.001946274,0.012426,0.6502676,0.08139906,-0.2303211,-0.07595788,9.116401,32.32642,3,Calibration,NOC
